property_title,location,number_of_rooms,price,size
2-BEDROOM APARTMENT,Al Ansab,2,OMR300,
2-BEDROOM APARTMENT,Shatti Al Qurum,2,OMR500,
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,"OMR1,500",
COMMERCIAL SHOP,Ghala,39,OMR370,
COMMERCIAL OFFICE SPACE,Bausher,2,OMR4,
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,"2,3,4",OMR650,
COMMERCIAL SPACE,Shatti Al Qurum,,OMR6,
6+1 BEDROOM TWIN VILLA,Bausher,6,"OMR1,000",
5+1 BEDROOM TWIN VILLA,Al Ansab,5,OMR750,
RETAIL SPACES,Al Khuwair,,OMR7,
Showroom- Fitted for Medical or Healthcare Use,,10,OMR7,
COMMERCIAL SPACE,Azaiba,OUTSIDE,"OMR2,200",
2-BEDROOM APARTMENT,Maabelah,2,OMR180,
3-BEDROOM APARTMENT,Al Khuwair,3,OMR280,
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,1,OMR250,
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,OMR800,
4-BEDROOM TWIN VILLA,,4,OMR700,
4-BEDROOM VILLA,,4,OMR600,
3-BEDROOM APARTMENT,Darsait,3,OMR400,
2+1 BEDROOM APARTMENT,Al Ghoubrah,2,OMR550,
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,"OMR1,800",
7-BEDROOM TWIN VILLA,Al Mawaleh,7,OMR675,
5-BEDROOM COMPOUND VILLA,Madinat Al llam,5,OMR900,
OFFICE SPACE,Muscat Hills,51.63,OMR6,
3-BEDROOM TOWNHOUSE,The Wave Muscat,3,"OMR1,100",
5-BEDROOM DETACHED VILLA,Muscat Hills,5,"OMR2,500",
5-BEDROOM TWIN VILLA,Al Ansab,5,OMR700,
2-BEDROOM APARTMENT,Al Ghoubrah,2,OMR600,
2-BEDROOM APARTMENT,Muscat Hills,2,OMR450,
2-BEDROOM APARTMENT,Al Mawaleh,2,OMR275,
4-BEDROOM TWIN VILLA,Al Mawaleh,4,OMR560,
3-BEDROOM TWIN VILLA,Al Mawaleh,3,OMR560,
1-BEDROOM APARTMENT,Muscat Hills,1,OMR375,
6+2 BEDROOM STANDALONE VILLA,Qurum,6,"OMR1,300",
6-BEDROOM APARTMENT,Al Khuwair,6,OMR550,
4+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,4,OMR700,
4+1 TWIN VILLA,Shatti Al Qurum,4,"OMR1,000",
4-BEDROOM TOWNHOUSE,Al Hail,4,OMR450,
3+1 TOWNHOUSE,Maabelah,4,OMR600,
2-BEDROOM TOWNHOUSE,Al Ansab,200,OMR650,
2-BEDROOM APARTMENT,Al Ansab,2,OMR400,
6-BEDROOM TWIN VILLA,Shatti Al Qurum,6,OMR700,
6 BEDROOM DETACHED VILLA,Madinat Al llam,6,OMR850,
4 BEDROOM TWIN-VILLA,Al Mawaleh,4,OMR700,
Office Space,Bausher,55,OMR400,
2 + 1 FULLY FURNISHED APARTMENT,Qurum,2,OMR500,
5 BEDROOM TOWNHOUSE,Qurum,5,OMR850,
5 BEDROOM TOWNHOUSE,Qurum,5,OMR950,
2 BEDROOM APARTMENT,Shatti Al Qurum,2,OMR450,
3 BEDROOM APARTMENT,Azaiba,3,OMR330,
1 & 2 BEDROOM APARTMENT,Azaiba,2,OMR280,
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,3,OMR400,
COMMERCIAL OFFICE SPACE IN (BAUSHER),Bausher,415,"OMR1,600",
3 BEDROOM APARTMENT IN (DARSIT),Darsait,3,OMR450,
2 BEDROOM APARTMENT IN (DARSIT),Darsait,2,OMR400,
3+1 BEDROOM TOWNHOUSE IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),3,OMR650,
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,2,OMR475,
3 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,3,OMR360,
2 BEDROOM APARTMENT IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),2,OMR300,
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,OMR550,
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,OMR450,
3 BEDROOM TOWNHOUSE,Qurum,3,OMR650,
5+1 BEDROOM VILLA IN ( QURUM),Qurum,5,"OMR2,500",
3+1 BEDROOM VILLA IN ( SHATTI QURUM),Shatti Al Qurum,3,"OMR2,500",
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,3,"OMR1,000",
2 SPACIOUS SHOWROOM IN ( MAABELLAH),Maabelah,2,"OMR3,000",
5 BEDROOM TWIN VILLA,Azaiba,5,OMR700,
COMMERCIAL SPACE FOR RENT IN (RUWI),Ruwi,,"OMR11,000",
4+1  BEDROOM TWIN-VILLA,Maabelah,5,OMR450,
4+1 BEDROOM TWIN-VILLA IN ( QURUM),Qurum,4,"OMR1,350",
2 BEDROOM PENTHOUSE  IN ( MUSCAT HILLS),Muscat Hills,2,OMR650,
2 BEDROOM PENTHOUSE FURNISHED IN ( MUSCAT HILLS),Muscat Hills,2,OMR750,
2 BEDROOM PENTHOUSE FURNISHED IN ( MUSCAT HILLS),Muscat Hills,2,OMR750,
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,2,OMR450,
2 BEDROOM APARTMENT IN (QURUM),Qurum,2,OMR350,
5 BEDROOM TOWNHOUSE,Madinat Qaboos (MQ),5,"OMR1,100",
FULLY FURNISHED STUDIO APARTMENT IN (SALALAH),Salalah,1,OMR400,
FURNISHED 4+1 BEDROOM TOWNHOUSE IN ( MUSCAT BAY),MUSCAT BAY,4,"OMR1,400",
4+1 TOWNHOUSE IN (MADINAT AL SULTAN QABOOS),Madinat Qaboos (MQ),4,OMR850,
2 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,2,OMR260,
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,84,OMR315,
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,143,OMR515,
2 BEDROOM APARTMENT IN (GHUBRA),Al Ghoubrah,2,OMR210,
COMMERCIAL SPACE IN (SHATTI AL QURUM),Shatti Al Qurum,1400,"OMR11,900",
PEARL BUILDING COMMERCIAL SPACE,Muscat Hills,97,"OMR1,200",
7+1 BEDROOM COMMERCIAL VILLA IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),7,"OMR1,800",
6+2 BHK COMMERCIAL VILLA IN (AZAIBA),Azaiba,6,"OMR3,000",
6+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,6,"OMR1,800",
4+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,4,"OMR1,200",
5+1 BEDROOM TOWNHOUSE IN ( QURUM),Qurum,5,"OMR1,750",
5+1  BEDROOM TOWNHOUSE IN (QURUM),Qurum,5,"OMR1,500",
2 BHK FULLY FURNISHED DUPLEX APARTMENT IN ( AL MOUJ),Al Mouj,2,"OMR2,300",
2-BEDROOM APARTMENT,Al Mawaleh,2,OMR250,
1-BEDROOM APARTMENT,Al Mawaleh,1,OMR220,
5+1 BEDROOM VILLA IN (AL ANSAB),Al Ansab,5,OMR750,
FURNISHED 5 BEDROOM TWIN VILLA,Al Ansab,5,OMR850,
